tienda,camion,id_zona,x,y,carga_total
7,1,562,18,21,79999080
7,1,563,18,22,79999080
7,1,535,17,24,79999080
7,2,535,17,24,79996222
7,2,563,18,22,79996222
7,2,564,18,23,79996222
7,2,565,18,24,79996222
7,2,566,18,25,79996222
7,2,567,18,26,79996222
7,2,568,18,27,79996222
7,2,569,18,28,79996222
7,2,570,18,29,79996222
7,2,588,19,17,79996222
7,2,589,19,18,79996222
7,2,590,19,19,79996222
7,2,591,19,20,79996222
7,2,592,19,21,79996222
7,2,593,19,22,79996222
7,2,594,19,23,79996222
7,2,595,19,24,79996222
7,2,596,19,25,79996222
7,2,597,19,26,79996222
7,2,598,19,27,79996222
